"infinitive","infinitive_english","mood","mood_english","tense","tense_english","verb_english","form_1s","form_2s","form_3s","form_1p","form_2p","form_3p","gerund","gerund_english","pastparticiple","pastparticiple_english"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Presente","Present","I abandon, am abandoning","abandono","abandonas","abandona","abandonamos","abandonais","abandonan","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Futuro","Future","I will abandon","abandonare","abandonaras","abandonara","abandonaremos","abandonareis","abandonaran","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Imperfecto","Imperfect","I was abandoning, used to abandon, abandoned","abandonaba","abandonabas","abandonaba","abandonabamos","abandonabais","abandonaban","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Preterito","Preterite","I abandoned","abandone","abandonaste","abandonó","abandonamos","abandonasteis","abandonaron","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Condicional","Conditional","I would abandon","abandonaria","abandonarias","abandonaria","abandonariamos","abandonariais","abandonarian","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have abandoned","he abandonado","has abandonado","ha abandonado","hemos abandonado","habeis abandonado","han abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have abandoned","habre abandonado","habras abandonado","habra abandonado","habremos abandonado","habreis abandonado","habran abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had abandoned","habia abandonado","habias abandonado","habia abandonado","habiamos abandonado","habiais abandonado","habian abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had abandoned","hube abandonado","hubiste abandonado","hubo abandonado","hubimos abandonado","hubisteis abandonado","hubieron abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have abandoned","habria abandonado","habrias abandonado","habria abandonado","habriamos abandonado","habriais abandonado","habrian abandonado","abandonando","abandoning","abandonado","abandoned"
